GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
portfolio-backend,com.protify.portfolio.common.enums,PriceSource,0,41,0,0,0,4,0,2,0,2
portfolio-backend,com.protify.portfolio.common.enums,CurrencyCode,0,35,0,0,0,4,0,2,0,2
portfolio-backend,com.protify.portfolio.common.enums,FxSource,0,29,0,0,0,4,0,2,0,2
portfolio-backend,com.protify.portfolio.common.enums,AssetType,0,53,0,0,0,4,0,2,0,2
portfolio-backend,com.protify.portfolio.common.enums,TransactionType,0,47,0,0,0,4,0,2,0,2
portfolio-backend,com.protify.portfolio.common.enums,EnumMapping,0,21,0,4,0,6,0,3,0,1
portfolio-backend,com.protify.portfolio.valuation.spi,ConvertedMoney,0,12,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.valuation.spi,PricePoint,0,12,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.valuation.spi,FxRateConversionAdapter,0,45,0,0,0,8,0,6,0,6
portfolio-backend,com.protify.portfolio.valuation.spi,MarketDataPriceLookupAdapter,0,33,0,0,0,7,0,4,0,4
portfolio-backend,com.protify.portfolio.marketdata,RefreshPricesResult,0,18,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.marketdata,RefreshStatus,0,21,0,0,0,2,0,1,0,1
portfolio-backend,com.protify.portfolio.marketdata,PriceHistoryRepository,2,116,1,1,1,30,1,7,0,7
portfolio-backend,com.protify.portfolio.marketdata,SymbolRefreshResult,0,18,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.marketdata,PriceHistoryRow,0,15,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.marketdata,CachingMarketDataService,10,188,1,5,2,40,1,14,0,12
portfolio-backend,com.protify.portfolio.marketdata,InstrumentLookupRepository,0,60,0,0,0,16,0,5,0,5
portfolio-backend,com.protify.portfolio.marketdata,RateLimitedProviderConfig,9,32,2,2,0,7,3,2,1,2
portfolio-backend,com.protify.portfolio.marketdata,RateLimitedProvider,82,362,12,26,12,73,11,21,2,11
portfolio-backend,com.protify.portfolio.marketdata,RateLimitedProvider.BreakerState,0,21,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.marketdata,PriceResult,0,15,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.marketdata,PriceRefreshScheduler,53,292,5,21,5,56,7,22,2,14
portfolio-backend,com.protify.portfolio.marketdata,InstrumentLookupRepository.InstrumentRef,0,12,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.graphql,PortfolioGraphQlController,8,120,4,4,0,24,4,5,0,5
portfolio-backend,com.protify.portfolio.graphql,GraphQlExceptionResolver,108,3,15,0,26,1,14,1,4,1
portfolio-backend,com.protify.portfolio.graphql,GraphQlConfig.new Coercing() {...},34,22,2,2,8,5,3,3,1,3
portfolio-backend,com.protify.portfolio.graphql,GraphQlConfig.new Coercing() {...},53,3,4,0,12,1,5,1,3,1
portfolio-backend,com.protify.portfolio.graphql,GraphQlErrorEnrichmentInterceptor,3,85,3,5,0,21,3,8,0,7
portfolio-backend,com.protify.portfolio.graphql,GraphQlConfig,0,61,0,0,0,14,0,8,0,8
portfolio-backend,com.protify.portfolio.portfolio,PortfolioRepository,12,190,0,0,0,37,2,8,2,8
portfolio-backend,com.protify.portfolio.portfolio,Portfolio,0,21,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.portfolio,PortfolioService,22,68,2,2,4,12,4,7,2,7
portfolio-backend,com.protify.portfolio.holding,Holding,0,24,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.holding,ProjectionResult,0,9,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.holding,HoldingRepository,0,67,0,0,0,17,0,4,0,4
portfolio-backend,com.protify.portfolio.holding,ProjectionContext,0,17,0,0,0,2,0,3,0,3
portfolio-backend,com.protify.portfolio.holding,HoldingState,0,15,0,0,0,1,0,1,0,1
portfolio-backend,com.protify.portfolio.holding,ProjectionEngine,4,244,2,20,0,40,2,15,0,4
portfolio-backend,com.protify.portfolio.api.valuation,PerformanceController,0,40,0,4,0,8,0,4,0,2
portfolio-backend,com.protify.portfolio.api.valuation,ValuationController,0,36,0,2,0,9,0,3,0,2
